Drug,Content,Joined,Posted,Age,Gender
Metformin+diabetes+type+2,Any mommies out there prescribed this medicine?,2014,2014,,Female
Metformin+diabetes+type+2,Did anyone notice the post on hbvadvocate.org March issue that metformin can reduce the incidence of cancer by 97pct!isn't it a great news??,2014,2015,38,Male
Metformin+diabetes+type+2,I am 8 weeks pregnant and just found out that I am diabetic . Next week I meet with an endocrinologist. Do any of you ladies have any advice or what I should prepare my self for? I know I will be taking insulin to keep my blood singer low.,2014,2014,,Female
Metformin+diabetes+type+2,Hi I'm new at this and at being prego; I haven't been to the doc but already scheduled one for next week. Well do I need to stop taking metformin? Does it harm the baby?,2013,2013,,Female
Metformin+diabetes+type+2,I was dx with type 2 diabetes (borderline) ? 2 yrs ago.. I was put on 500milgs of metformin 2xday / for the first few months I took the med.. but I felt it was making me to hungry ? my Dr said to stop it ? I continued to have episodes of HUNGER; sweating; shaking; heart beating fast; a scary feeling.. I don't keep any sugary foods or drink in house so I just grabed a piece of whole wheat bread & peanut butter.. after about 15 mins symtoms subsided.. I ran out of the strips for my blood count meter.. as I write now I feel slight symtoms creeping up ? I guess I should quick and eat something.. my quest is Im not sure if I should take the metformin.. doesn't it bring sugar down ? I will call my primary later today.. but shes not helping me much..have to go & eat THANKXXX,2011,2012,58,Female
Metformin+diabetes+type+2,I have been diagonised with PCOS and my doctor prescribed Metformin twice a day. I dont have type 2 diabetes now. Will i get Type 2 diabetes in the future???,2011,2011,,
Metformin+diabetes+type+2,I AM A 74 YR OLD RETIRED MALE (6'2"- 200 LB- ACTIVE). I WAS DIAGNOSED WITH TYPE 2 DIABETES LAST FALL. I LOST 25 LBS AND MONITER MY DIET & ACTIVITIES TO HELP MY DISEASE. MY LAST CHECK-UP LAST MONTH WAS VERY GOOD. I TAKE 1 TABLET OF METFORMIN 500MG DAILY AS MAINTENANCE. MY PROBLEM IS THAT MY FEET TINGLE WHEN I AM ON THEM DURING THE DAY TO THE POINT OF FEELING ACHY. WHEN I AM OFF THEM AT NIGHT THE TINGLING SUBSIDES. DO YOU HAVE ANY IDEAS ON THIS SITUATION FOR ME? I WEAR GOOD FOOTWEAR. COULD IT BE THE METFORMIN? THANK YOU FOR YOUR ASSISTANCE! THOMAS ROGERS,2009,2009,74,Male
Metformin+diabetes+type+2,Hello I have pcos and I've done one cycle of just clomid; the doc said if it doesn't work within 3 months they are putting me on metformin as well as clomid.. what does the metformin actually do? X,2015,2016,,Female
Metformin+diabetes+type+2,This is really a post for a friend of mine. He has had Type II diabetes for years but is finding very hard to control as his Metformin AS 500mg makes him sick every day.He takes it in the morning just before breakfast and is nauseous the rest for the day. As such he skips taking it most of the time with his glucose in the 300's and even when he does take it his glucose is in the high 200's. He is wondering if any other diabetics have had this problem with the metformin? Dennis,2008,2011,,Male
Metformin+diabetes+type+2,My boyfriend and I have been trying to conceive for 2 years now; I recently discovered I have pcos and I have been on metformin since december. Has anyone actually has any success just taking metformin?,2009,2009,,
Metformin+diabetes+type+2,Sir; I am adiabetic type 2; on glimperide2mg;metformin 1000mg bd; Acarbose 50mg at night; vildagliptin 50mg noon I had MI 3 yrs back taking small dosage of B blockers since last 4 yrs i have taking enalapril 5 mg. At present HbA1c is 6.5 microalbuminurai 60mg last yr it was 30mg. Previously S K was WNL but 1 yr back it was 6.1meq/l I reduced enalapril came down to 5.5 or so Then I stopped enalapril. S K became wnl then I started ARBs again S K started rising.Now I stopped ACE inh /ARBs S. K is Ok so my question is why SK raised now while prev it was normal with ACEinhibitors? What should I do to prevent microalbuminuria? S cr Is normal. should I continue ACE inh /ARBs even if S.K is high? Thanx Dr Naveen,2010,2010,,
Metformin+diabetes+type+2,hi i am neethu;my mom has type 2 diabetes since 1 yr and age is 43 yrs; First time we consulted 1 doctor he gave some tablets but my moms sugar level was around 220-230 range and later due to his selfish nature to gain more money has suggested insulin intake at earlier stage itself which was not needed and was harmfull; so we left that doctor and consulted other doctor and her BP is always at normal range only; empty stomach sugar test range is 160-163; and after breakfast sugar test range is 140-143; HBA1C test is 8.0; the doctor whom we are consulting now has suggested the following tablets istamet 50mg/1000mg (before breakfast); Gemer forte 2(night after dinner); Lipirose 10 (night after dinner);Axeten H (Morning after breakfast) So as said above the doctor has given 4 tablets to take per day; my doubt is 1. Why the doctor has given that many tablets to my mom when some other doctors suggest just 1 or 2 tablets for their patients having same problem?? 2. Are the tablets which that doctor suggested are good and correct for my mom? What medicines would you suggest for my moms condition so that i can ask the doctor we are consulting. Please help me as soon as possible it would be of great help to me. Thank you.,2012,2012,,Male
Metformin+diabetes+type+2,I'm 24 with type two diabetes. I am obese. I take metformin. I've been waking up before my alarm everyday with a really weird; almost hungover; dizzy feeling and I don't want to open my eyes. I get restless and have to go to the bathroom. It's always diarrhea. I then start to get sweaty; nauseous; shaky... The top of my stomach starts feeling really weird. Ill usually start getting really emotional and upset about the way I'm feeling. The thought of having to go to work in an hour makes me stress even more about it too. Worrying if ill even be able to manage standing for 5 hours.,2013,2013,,
Metformin+diabetes+type+2,I am on metformin; 500mg x 4 a day. Some say take two; twice a day and some people on my diabetic team say take one per meal. what is the best way to take it? My prescription is saying right now; take two twice a day; and I am confused;;;;how does metformin actually work with meals or bloodsugar management during a day? Thanks in advanced for any help on this.,2010,2010,46,Female
Metformin+diabetes+type+2,I have been on Byetta (stomach injections)for about 8 months. The first 6 months was the lowest dosage and now it is doubled (the highest dosage). There is no rhyme or reason concerning the A1C levels - currently 7.6%! and I have not lost any weight either - which is suppose to be a side affect (one I was looking forward to). My blood work is good for my heart disease; but not for the diabetes. I teach exercise classes but also have fibromyalgia and ostioarthritis; so exercising more would really be a chore; I've cut back on portions and have introduced more fruit and vegetables in my diet. I know if I lost at least 25lbs; I would feel better and hopefully get my A1C down. HELP - What else can I do to loose weight?,2007,2007,,
Metformin+diabetes+type+2,I just realized that I haven't seen my diabetes specialist in about three years. On my last visit she "discharged" me to the care of my internist. I was diagnosed with type 2 diabetes about 5 years ago; at age 62. My glucose levels are stable at around 110; hB!ac 5.9. I've recently lost 25 kg; do some mild exercise and feel good. I'm taking metformin twice a day (750 mg). In addition to my internist; I'm followed by a blood pressure specialist (now weaning me of medication); a cardiologist; a gastroenterologist (weight loss program) and a neurologist (diabetic neuropathy- stable). I think I've got everything pretty well covered...but is there anything that a diabetes specialist could add to this mix? This discussion is related to Introducing the Diabetes Tracker.,2009,2009,,Female
Metformin+diabetes+type+2,I am 29 year old/m;married. 5 months before i came to know that i have type 2 diabetes. initially it was 294(rbs); now i lowered this to 131(fbs). i am taking metformin.I used to smoke 20 cigarettes/day and drink twice/week.will smoking and drinking increase blood sugar? i am planning for baby. if i try now what is effect on my child?,2007,2007,,
Metformin+diabetes+type+2,HI there; I am a type2 diabetic on insulin. However for 8 weeks my BM has been 400-600mg/dl and I am not having ketones. I have been to my doctor and he told be to adjust 6u per day; but still no improvement. My emergency department do not want to admit me into hospital as I am not "critical". Symptoms include: very tired; thirsty; and weight loss... and recurrent thrush. Eyesight has also decreased; I am so scared. I want to know what to do.. do I wait in A&E til I am sorted; or will this stabilise eventually?,2006,2006,,
Metformin+diabetes+type+2,After three rounds of Interferon; Ribaviron; and something else; each for 48 weeks; I am left with high fasting blood glucose and A1C of 6.0. My fasting sugars range from 134 to 160. They used to be 104 or less. I went to diabetes center for diet counseling; I walk and ride my bicycle 6 times a week; weather permitting and still may have to get pills to control this blood sugar problem. The diet modifications have not helped. I have no family history of diabetes. MCV is also out of range. I have been considered free of the Hep C virus for 2.5 years now. Had stage 3 plus liver damage with type 3 then was told it was type 1. Who knows? Any comments? Thanks. Bobbie,2016,2016,64,Female
